source,output,source_size_bytes,output_size_bytes,source_dimensions,output_dimensions,resized,status
activity/activity01.jpg,activity/activity01.webp,14879585,530240,6048x4032,2560x1707,yes,OK
activity/activity02.jpg,activity/activity02.webp,13758244,543918,6048x4032,2560x1707,yes,OK
activity/activity03.jpg,activity/activity03.webp,11425838,308454,6048x4032,2560x1707,yes,OK
activity/activity04.jpg,activity/activity04.webp,11091718,199400,5815x3877,2560x1707,yes,OK
activity/activity05.jpg,activity/activity05.webp,18908717,619490,6048x4032,2560x1707,yes,OK
activity/activity06.jpg,activity/activity06.webp,22185831,557488,6048x4032,2560x1707,yes,OK
activity/activity07.jpg,activity/activity07.webp,7612731,104232,5559x3706,2560x1707,yes,OK
activity/activity08.jpg,activity/activity08.webp,6600177,60052,6048x4032,2560x1707,yes,OK
activity/activity09.jpg,activity/activity09.webp,7298789,66592,4032x6048,1707x2560,yes,OK
activity/activity10.jpg,activity/activity10.webp,9914130,120508,4032x6048,1707x2560,yes,OK
activity/activity11.jpg,activity/activity11.webp,6405182,68110,4032x6048,1707x2560,yes,OK
arch/arch01.jpg,arch/arch01.webp,381854,241548,1200x801,1200x801,no,OK
arch/arch02.jpg,arch/arch02.webp,194644,117512,801x1200,801x1200,no,OK
arch/arch03.jpg,arch/arch03.webp,292255,155360,803x1200,803x1200,no,OK
arch/arch04.jpg,arch/arch04.webp,332230,208470,803x1200,803x1200,no,OK
arch/arch05.jpg,arch/arch05.webp,159051,139840,1200x723,1200x723,no,OK
arch/arch06.jpg,arch/arch06.webp,240733,178344,801x1200,801x1200,no,OK
arch/arch07.jpg,arch/arch07.webp,271869,190128,989x1200,989x1200,no,OK
events/events01.jpg,events/events01.webp,199519,94488,1200x800,1200x800,no,OK
events/events02.jpg,events/events02.webp,142917,45778,800x1200,800x1200,no,OK
events/events03.jpg,events/events03.webp,171864,57954,960x1200,960x1200,no,OK
events/events04.jpg,events/events04.webp,173879,68746,800x1200,800x1200,no,OK
events/events05.jpg,events/events05.webp,142088,44080,800x1200,800x1200,no,OK
events/events06.jpg,events/events06.webp,238792,115778,801x1200,801x1200,no,OK
events/events07.jpg,events/events07.webp,281642,117376,960x1200,960x1200,no,OK
events/events08.jpg,events/events08.webp,212882,109944,1200x675,1200x675,no,OK
events/events09.jpg,events/events09.webp,195429,79388,1200x801,1200x801,no,OK
events/events10.jpg,events/events10.webp,86366,32152,1200x689,1200x689,no,OK
events/events11.jpg,events/events11.webp,196388,72172,801x1200,801x1200,no,OK
events/events12.jpg,events/events12.webp,169721,90772,899x1200,899x1200,no,OK
events/events13.jpg,events/events13.webp,91176,26168,960x1200,960x1200,no,OK
events/events14.jpg,events/events14.webp,160451,55654,801x1200,801x1200,no,OK
events/events15.jpg,events/events15.webp,243001,131004,1200x800,1200x800,no,OK
events/events16.jpg,events/events16.webp,230882,95584,801x1200,801x1200,no,OK
events/events17.jpg,events/events17.webp,209710,96820,800x1200,800x1200,no,OK
events/events18.jpg,events/events18.webp,122151,78814,1200x801,1200x801,no,OK
events/events19.jpg,events/events19.webp,291620,142906,801x1200,801x1200,no,OK
food/food01.jpg,food/food01.webp,307518,160378,960x1200,960x1200,no,OK
food/food02.jpg,food/food02.webp,295059,109808,1200x960,1200x960,no,OK
food/food03.jpg,food/food03.webp,110215,40972,800x1200,800x1200,no,OK
food/food04.jpg,food/food04.webp,90733,23888,800x1200,800x1200,no,OK
food/food05.jpg,food/food05.webp,199455,91918,800x1200,800x1200,no,OK
food/food06.jpg,food/food06.webp,205186,83596,800x1200,800x1200,no,OK
food/food07.jpg,food/food07.webp,238511,101016,960x1200,960x1200,no,OK
food/food08.jpg,food/food08.webp,188931,69004,960x1200,960x1200,no,OK
food/food09.jpg,food/food09.webp,175262,64410,800x1200,800x1200,no,OK
food/food10.jpg,food/food10.webp,199269,73700,1096x1200,1096x1200,no,OK
food/food11.jpg,food/food11.webp,471237,343070,800x1200,800x1200,no,OK
food/food12.jpg,food/food12.webp,129340,40756,800x1200,800x1200,no,OK
hero/hero.jpg,hero/hero.webp,204787,90268,933x1400,933x1400,no,OK
hero/ritratti fabio-14.jpg,hero/ritratti fabio-14.webp,17301538,621186,4032x6048,1707x2560,yes,OK
hero/ritratti fabio-18.jpg,hero/ritratti fabio-18.webp,14050680,372570,6048x3402,2560x1440,yes,OK
interiors/interiors01.jpg,interiors/interiors01.webp,294573,201940,1200x801,1200x801,no,OK
interiors/interiors02.jpg,interiors/interiors02.webp,292925,152050,1200x800,1200x800,no,OK
interiors/interiors03.jpg,interiors/interiors03.webp,166830,66170,800x1200,800x1200,no,OK
interiors/interiors04.jpg,interiors/interiors04.webp,159823,37882,800x1200,800x1200,no,OK
interiors/interiors05.jpg,interiors/interiors05.webp,108786,27966,1200x801,1200x801,no,OK
interiors/interiors06.jpg,interiors/interiors06.webp,154481,53060,1200x801,1200x801,no,OK
interiors/interiors07.jpg,interiors/interiors07.webp,232344,111700,960x1200,960x1200,no,OK
interiors/interiors08.jpg,interiors/interiors08.webp,192629,66496,960x1200,960x1200,no,OK
interiors/interiors09.jpg,interiors/interiors09.webp,181925,60318,800x1200,800x1200,no,OK
interiors/interiors10.jpg,interiors/interiors10.webp,205178,82270,800x1200,800x1200,no,OK
interiors/interiors11.jpg,interiors/interiors11.webp,129968,38744,800x1200,800x1200,no,OK
interiors/interiors12.jpg,interiors/interiors12.webp,149986,50114,1200x801,1200x801,no,OK
profile/profile.jpg,profile/profile.webp,12243996,302856,4032x6048,1707x2560,yes,OK
