source,output,source_size_bytes,output_size_bytes,source_dimensions,output_dimensions,resized,status,note
street/street01.avif,street/street01.webp,1558330,359030,3982x5993,1701x2560,yes,OK,
street/street02.avif,street/street02.webp,1417963,985376,3000x2000,2560x1707,yes,OK,
street/street03.avif,street/street03.webp,284696,174704,3440x1813,2560x1349,yes,OK,
street/street04.avif,street/street04.webp,4191355,669020,4016x6016,1709x2560,yes,OK,
street/street05.avif,street/street05.webp,4158340,716512,6016x4016,2560x1709,yes,OK,
street/street06.avif,street/street06.webp,340495,300976,1059x1672,1059x1672,no,OK,
street/street07.avif,street/street07.webp,1859138,614968,3000x2000,2560x1707,yes,OK,
street/street08.avif,street/street08.webp,1732875,467712,2000x3000,1707x2560,yes,OK,
street/street09.avif,street/street09.webp,1882286,686146,2000x3000,1707x2560,yes,OK,
street/street10.avif,street/street10.webp,1476523,792884,2169x2186,2169x2186,no,OK,
street/street11.avif,street/street11.webp,599642,440124,1028x1667,1028x1667,no,OK,
street/street12.avif,street/street12.webp,254325,272932,1059x1664,1059x1664,no,OK,
street/street13.avif,street/street13.webp,399333,481068,1667x1028,1667x1028,no,OK,
street/street14.avif,street/street14.webp,705438,234110,3266x4892,1709x2560,yes,OK,
street/street15.avif,street/street15.webp,820858,416372,3000x2000,2560x1707,yes,OK,
street/street16.avif,street/street16.webp,1008768,865758,2821x3125,2311x2560,yes,OK,
street/street17.avif,street/street17.webp,4848214,964908,6048x4032,2560x1707,yes,OK,
street/street18.avif,street/street18.webp,3127386,986482,3341x5011,1707x2560,yes,OK,
street/street19.avif,street/street19.webp,2591415,730906,4501x3005,2560x1709,yes,OK,
street/street20.avif,street/street20.webp,5662561,957880,5776x3523,2560x1561,yes,OK,
street/street21.avif,street/street21.webp,2466157,316704,3910x5865,1707x2560,yes,OK,
street/street22.avif,street/street22.webp,2180060,206910,3917x5868,1709x2560,yes,OK,
street/street23.avif,street/street23.webp,3095514,945430,6016x4016,2560x1709,yes,OK,
street/street24.avif,street/street24.webp,1338509,243328,6016x4016,2560x1709,yes,OK,
street/street25.avif,street/street25.webp,4156767,346130,4016x6016,1709x2560,yes,OK,
street/street26.avif,street/street26.webp,2267169,557304,6016x3161,2560x1345,yes,OK,
street/street28.avif,street/street28.webp,4796023,813192,6016x3429,2560x1459,yes,OK,
street/street29.avif,street/street29.webp,3500367,616218,6016x4016,2560x1709,yes,OK,
street/street30.avif,street/street30.webp,5689503,1162970,4940x2779,2560x1440,yes,OK,
